Izq,Der,estimador,varEst,longitud,exito
0.10580673647315289,0.10580673647315289,0.10580673647315289,0.10580673647315289,0.10580673647315289,0.10580673647315289
0.10517653330410333,0.10517653330410333,0.10517653330410333,0.10517653330410333,0.10517653330410333,0.10517653330410333
0.10470157813325989,0.10470157813325989,0.10470157813325989,0.10470157813325989,0.10470157813325989,0.10470157813325989
0.1056922252036084,0.1056922252036084,0.1056922252036084,0.1056922252036084,0.1056922252036084,0.1056922252036084
0.10420508252337722,0.10420508252337722,0.10420508252337722,0.10420508252337722,0.10420508252337722,0.10420508252337722
0.10502477613281895,0.10502477613281895,0.10502477613281895,0.10502477613281895,0.10502477613281895,0.10502477613281895
0.10508319238722592,0.10508319238722592,0.10508319238722592,0.10508319238722592,0.10508319238722592,0.10508319238722592
0.10537956316274073,0.10537956316274073,0.10537956316274073,0.10537956316274073,0.10537956316274073,0.10537956316274073
0.10481021098901566,0.10481021098901566,0.10481021098901566,0.10481021098901566,0.10481021098901566,0.10481021098901566
0.10476811630891898,0.10476811630891898,0.10476811630891898,0.10476811630891898,0.10476811630891898,0.10476811630891898
0.10433039205740993,0.10433039205740993,0.10433039205740993,0.10433039205740993,0.10433039205740993,0.10433039205740993
0.10515526075190948,0.10515526075190948,0.10515526075190948,0.10515526075190948,0.10515526075190948,0.10515526075190948
0.10590174720050127,0.10590174720050127,0.10590174720050127,0.10590174720050127,0.10590174720050127,0.10590174720050127
0.10585482746820332,0.10585482746820332,0.10585482746820332,0.10585482746820332,0.10585482746820332,0.10585482746820332
0.10487005781874956,0.10487005781874956,0.10487005781874956,0.10487005781874956,0.10487005781874956,0.10487005781874956
0.10520629503227055,0.10520629503227055,0.10520629503227055,0.10520629503227055,0.10520629503227055,0.10520629503227055
0.104542650554029,0.104542650554029,0.104542650554029,0.104542650554029,0.104542650554029,0.104542650554029
0.10519033329030662,0.10519033329030662,0.10519033329030662,0.10519033329030662,0.10519033329030662,0.10519033329030662
0.10612371041329163,0.10612371041329163,0.10612371041329163,0.10612371041329163,0.10612371041329163,0.10612371041329163
0.10557495470887403,0.10557495470887403,0.10557495470887403,0.10557495470887403,0.10557495470887403,0.10557495470887403
0.1052697958447752,0.1052697958447752,0.1052697958447752,0.1052697958447752,0.1052697958447752,0.1052697958447752
0.10484728234952966,0.10484728234952966,0.10484728234952966,0.10484728234952966,0.10484728234952966,0.10484728234952966
