"","V1","V2","V3","V4"
"1",0.60484004775263,0.61867824611311,0.0138381983604795,1
"2",0.600953178273458,0.615375552721454,0.0144223744479954,1
"3",0.609861248859424,0.623036078376484,0.0131748295170601,1
"4",0.597566419043778,0.612649206865301,0.0150827878215225,0
"5",0.607826570192855,0.621613069905059,0.0137864997122037,1
"6",0.602661676628202,0.616676508938749,0.0140148323105479,1
"7",0.605321179729642,0.619486379450532,0.01416519972089,1
"8",0.612221785385084,0.625478129325542,0.0132563439404588,1
"9",0.604179655702489,0.618348565535843,0.0141689098333542,1
"10",0.604113520816396,0.618058372359778,0.0139448515433818,1
"11",0.600250928462851,0.614667304556875,0.0144163760940235,1
"12",0.602369302973012,0.616141633610417,0.0137723306374045,1
"13",0.604873635651532,0.619277719187356,0.0144040835358236,1
"14",0.605760480222892,0.619922379929035,0.0141618997061423,1
"15",0.606554031978702,0.620969771961801,0.014415739983099,1
"16",0.6037349873286,0.617339058850673,0.0136040715220729,1
"17",0.603400023424582,0.617457759296118,0.0140577358715362,1
"18",0.603034739974158,0.6167122082933,0.013677468319142,1
"19",0.606047553599512,0.619169518093241,0.0131219644937289,1
"20",0.602157781266589,0.615325968764494,0.0131681874979052,1
"21",0.601062379002406,0.615167522458634,0.014105143456228,1
"22",0.615818568662787,0.629780050049156,0.0139614813863682,0
"23",0.611715911779264,0.625039006887895,0.0133230951086312,1
"24",0.608096449104676,0.621914727787829,0.0138182786831531,1
"25",0.609648057336478,0.62318142446668,0.0135333671302021,1
"26",0.600117214736639,0.614455464305325,0.0143382495686863,1
"27",0.606910678670848,0.621164145771727,0.0142534671008786,1
"28",0.603441753684864,0.61785815854297,0.0144164048581055,1
"29",0.604537853791549,0.618380109747987,0.0138422559564373,1
"30",0.599321959988107,0.612892324528358,0.0135703645402506,0
"31",0.604620928008426,0.618499447633974,0.0138785196255484,1
"32",0.604189153242559,0.617845113836999,0.01365596059444,1
"33",0.608711215843231,0.622655853327462,0.0139446374842315,1
"34",0.609887940582534,0.62331916625531,0.0134312256727769,1
"35",0.601484467921446,0.615950343114607,0.0144658751931604,1
"36",0.601099418376955,0.614866523394051,0.0137671050170959,1
"37",0.606898347884846,0.620441553007552,0.0135432051227067,1
"38",0.601364469217418,0.615757638590318,0.0143931693728994,1
"39",0.607659531722544,0.62188558640649,0.0142260546839452,1
"40",0.601448321278484,0.615736420649427,0.0142880993709434,1
